ID,섹션,케이스 유형,테스트 시나리오,기대 결과,우선순위,출처,사전 조건,테스트 결과 (Status),기획 보완 필요 여부,비고
TC-001,반려동물 프로필 등록,해피,"이름·종류·성별 필수항목 입력 완료 + 10MB 이하 유효 JPG 업로드 후 등록 버튼 클릭","프로필 목록에 신규 카드 추가 / 대표 사진 및 기본 정보 상단 정상 표시",P0,기획서기반,로그인 상태 / 등록 반려동물 4마리 이하,NT,N,AC-1 직접 변환
TC-002,반려동물 프로필 등록,인해피,이름 미입력 상태에서 다음 버튼 클릭,"이름 필드 빨간 테두리 + ""필수 입력 항목입니다"" 인라인 오류 메시지 노출 / 다음 화면 미이동",P1,기획서기반,로그인 상태,NT,N,AC-2 직접 변환
TC-003,반려동물 프로필 등록,인해피,"반려동물 5마리 등록 완료 상태에서 6번째 등록 버튼 클릭 시도","등록 버튼 그레이아웃 비활성화 + ""최대 5마리까지 등록 가능합니다"" 팝업 노출",P1,기획서기반,로그인 상태 / 반려동물 5마리 등록 완료,NT,N,AC-3 직접 변환
TC-004,반려동물 프로필 등록,엣지,OS 카메라·갤러리 권한 거부 상태에서 대표 사진 업로드 버튼 클릭,"""사진 접근 권한이 필요합니다. 설정에서 허용해 주세요"" 팝업 + [설정으로 이동] 버튼 노출 / 파일 선택창 미노출",P1,기획서기반,OS 카메라·갤러리 권한 거부 상태 / 로그인 완료,NT,N,AC-4 직접 변환 / v1 AI추가→v2 기획서기반 전환
TC-005,반려동물 프로필 등록,엣지,512×512px 미만 저해상도 이미지 업로드 시도 후 경고 팝업에서 [확인] 클릭,"""512×512px 미만 이미지입니다. 업로드하시겠습니까?"" 경고 팝업 노출 / [확인] 클릭 시 업로드 진행 허용",P1,기획서기반,로그인 상태 / 512×512px 미만 이미지 준비,NT,N,AC-5 확인 분기
TC-006,반려동물 프로필 등록,엣지,512×512px 미만 이미지 경고 팝업에서 [취소] 클릭,파일 선택 화면 유지 / 이전 이미지 미업로드 상태 유지,P1,기획서기반,512×512px 미만 경고 팝업 노출 상태,NT,N,AC-5 취소 분기 별도 검증
TC-007,반려동물 프로필 등록,해피,이름 20자(한글) 입력 후 등록 진행,20자 입력 정상 허용 / 등록 진행,P1,기획서기반,로그인 상태,NT,N,이름 최대 글자 수 경계값(20자)
TC-008,반려동물 프로필 등록,인해피,이름 21자 입력 시도,21번째 글자 입력 차단 / 최대 20자 제한 적용,P1,기획서기반,로그인 상태,NT,Y,글자 수 제한 명시됨 / 입력 차단 방식(즉시 차단·토스트) 및 오류 문구 미명시
TC-009,반려동물 프로필 등록,인해피,"10MB 초과 이미지(예: 15MB JPG) 업로드 시도","""10MB 이하 이미지만 업로드 가능합니다"" 토스트 3초 노출 / 업로드 차단",P1,기획서기반,로그인 상태 / 10MB 초과 이미지 파일 준비,NT,N,화면 상태 에러 정의 직접 변환
TC-010,반려동물 프로필 등록,인해피,미지원 파일 형식(GIF) 업로드 시도,"파일 선택창에서 JPG·PNG·HEIC 외 형식 차단 또는 업로드 시 오류 안내 노출",P1,기획서기반,로그인 상태,NT,Y,허용 형식(JPG/PNG/HEIC) 명시됨 / 미지원 형식 차단 시점·오류 문구 미명시
TC-011,반려동물 프로필 등록,엣지,반려동물 0마리 상태에서 앱 프로필 화면 진입,"""아직 등록된 반려동물이 없어요"" 문구 + ""반려동물 등록하기"" CTA 버튼 노출",P2,기획서기반,신규 가입 또는 전체 프로필 삭제 후 상태,NT,N,v2 빈 상태 화면 정의 명시
