ID,섹션,케이스 유형,테스트 시나리오,기대 결과,우선순위,출처,사전 조건,비고
TC-001,반려동물 프로필 등록,해피,이름(10자)/종류(강아지)/성별(수컷)/생년월일 모두 입력하고 다음 버튼 클릭,대표 사진 업로드 화면으로 정상 이동,P0,기획서기반,로그인 상태 / 등록된 반려동물 4마리 이하,핵심 등록 플로우 검증
TC-002,반려동물 프로필 등록,해피,필수항목(이름/종류)만 입력하고 선택항목(품종/생일/성별) 미입력 후 다음 클릭,필수값만으로도 대표 사진 업로드 화면으로 정상 이동,P1,기획서기반,로그인 상태,선택 항목 미입력 시 기본값 처리 방식 기획 미명시
TC-003,반려동물 프로필 등록,인해피,이름 미입력(공백) 후 다음 버튼 클릭,"이름 입력 필드 하단에 빨간 테두리와 ""필수 입력 항목입니다"" 인라인 에러 메시지 표시 / 다음 화면으로 미이동",P1,기획서기반,로그인 상태,필수 입력값 유효성 검사
TC-004,반려동물 프로필 등록,인해피,종류 미선택 상태에서 다음 버튼 클릭,"종류 선택 필드 하단에 ""필수 입력 항목입니다"" 인라인 에러 메시지 표시 / 다음 화면으로 미이동",P1,기획서기반,로그인 상태,필수 입력값 유효성 검사
TC-005,반려동물 프로필 등록,엣지,이름 필드에 정확히 20자 입력 후 21번째 글자 입력 시도,20자 입력 후 추가 입력 차단 / 잔여 글자 수 0/20 표시,P2,기획서기반,로그인 상태,최대 길이 경계값 검증
TC-006,반려동물 프로필 등록,엣지,이름 필드에 이모지(🐶) 포함 문자열 입력 후 다음 클릭,이모지 포함 이름이 정상 입력되고 다음 화면으로 이동,P1,기획서기반,로그인 상태,이모지 허용 정책 기획서 명시됨
TC-007,반려동물 프로필 등록,엣지,생년월일 캘린더에서 오늘 날짜 선택 시도,오늘 날짜 비활성화(선택 불가) / 어제 이전 날짜만 선택 가능,P1,기획서기반,로그인 상태,오늘 날짜 포함 여부 경계 정책 미명시
TC-008,반려동물 프로필 등록,해피,"1:1 비율 JPG 이미지(512×512px 이상)를 갤러리에서 선택하여 업로드 후 ""등록"" 버튼 클릭",미리보기 화면 이미지 확인 후 프로필 등록 완료 / 프로필 화면 상단에 대표 사진 표시,P0,기획서기반,기본 정보 입력 완료 / 로그인 상태,핵심 사진 업로드 플로우
TC-009,반려동물 프로필 등록,해피,HEIC 형식 이미지를 갤러리에서 선택하여 업로드,HEIC 형식 정상 처리 후 미리보기 표시 / 등록 가능,P1,기획서기반,기본 정보 입력 완료 / HEIC 이미지 파일 준비,HEIC 지원 형식 기획서 명시됨
TC-010,반려동물 프로필 등록,인해피,GIF 형식 이미지를 대표 사진으로 업로드 시도,"지원하지 않는 파일 형식입니다(JPG/PNG/HEIC만 지원) 에러 메시지 표시 / 업로드 차단",P1,AI추가,기본 정보 입력 완료 / GIF 파일 준비,미지원 형식 업로드 에러 처리 기획서 미명시
TC-011,반려동물 프로필 등록,엣지,512×512px 미만(200×200px) 이미지를 대표 사진으로 업로드 시도,"512×512px 미만 이미지입니다. 업로드하시겠습니까? 경고 표시 / [확인] 클릭 시 업로드 허용 / [취소] 클릭 시 파일 선택 화면 유지",P1,AI추가,기본 정보 입력 완료 / 저해상도 이미지 준비,저해상도 허용 여부 정책 기획 미명시
TC-012,반려동물 프로필 등록,엣지,10MB를 초과하는 이미지 파일을 대표 사진으로 업로드 시도,"파일 선택 직후 ""10MB 이하 이미지만 업로드 가능합니다"" 토스트 메시지 3초 노출 / 업로드 차단",P1,AI추가,기본 정보 입력 완료 / 10MB 초과 이미지 준비,파일 용량 제한 기준 기획서 미명시
TC-013,반려동물 프로필 등록,엣지,OS 레벨에서 카메라·갤러리 접근 권한이 거부된 상태에서 대표 사진 업로드 버튼 클릭,"사진 접근 권한이 필요합니다. 설정에서 허용해 주세요 안내 표시 / [설정으로 이동] 버튼 클릭 시 기기 설정 > 앱 권한 화면으로 이동",P1,AI추가,OS 카메라·갤러리 접근 권한 거부 상태 / 로그인 완료,OS 권한 미허용 시나리오 기획 미명시
TC-014,반려동물 프로필 등록,해피,등록된 반려동물 프로필의 이름과 대표 사진 수정 후 저장,변경된 이름과 사진이 프로필 화면에 즉시 반영됨,P1,기획서기반,반려동물 프로필 등록 완료 / 로그인 상태,
TC-015,반려동물 프로필 등록,해피,반려동물 목록에서 대표 반려동물을 다른 마리로 지정 변경,선택한 반려동물이 대표로 지정되어 목록에 구분 표시,P2,기획서기반,반려동물 2마리 이상 등록 완료 / 로그인 상태,대표 반려동물 표시 방식 기획 미명시
TC-016,반려동물 프로필 등록,인해피,이름 필드를 공백으로 수정 후 저장 시도,"이름은 필수 입력 항목입니다 에러 메시지 표시 / 저장 차단",P1,AI추가,반려동물 프로필 등록 완료 / 로그인 상태,수정 시 유효성 재검사 기획 미명시
TC-017,반려동물 프로필 등록,엣지,캐릭터·일기가 생성된 반려동물 프로필 삭제 진행,"삭제 경고 모달에 ""캐릭터·일기도 함께 삭제됩니다"" 안내 표시 / 확인 클릭 시 모든 연계 데이터 삭제 완료",P0,기획서기반,캐릭터·일기가 생성된 반려동물 프로필 존재 / 로그인 상태,연계 삭제 범위(커뮤니티 게시물 포함 여부) 기획 미명시
TC-018,반려동물 프로필 등록,엣지,반려동물 1마리만 등록된 계정에서 해당 프로필 삭제 진행,"삭제 완료 후 빈 상태(0마리) 화면으로 이동 / 반려동물 등록하기 CTA 버튼 노출",P1,AI추가,반려동물 1마리만 등록 완료 / 로그인 상태,유일한 대표 반려동물 삭제 시 처리 기획 미명시
TC-019,AI 캐릭터 생성,해피,대표사진 등록된 프로필에서 성격 키워드 3개 선택 후 AI 캐릭터 만들기 클릭,15~30초 내 생성 완료 / 정면·측면·전신 3종 캐릭터 이미지 카드 표시 / 성격 요약 문구 함께 표시,P0,기획서기반,로그인 상태 / 대표 사진 등록 완료,핵심 AI 캐릭터 생성 기능 검증
TC-020,AI 캐릭터 생성,해피,성격 키워드 1개만 선택 후 AI 캐릭터 만들기 클릭,정상 생성 완료 / 3종 캐릭터 이미지 카드 표시,P1,AI추가,로그인 상태 / 대표 사진 등록 완료,키워드 최소 선택 수 정책 기획 미명시
TC-021,AI 캐릭터 생성,인해피,대표 사진이 없는 반려동물 프로필에서 AI 캐릭터 만들기 버튼 클릭,"대표 사진을 먼저 등록해 주세요 안내 표시 / [사진 등록하기] 버튼 클릭 시 대표 사진 업로드 화면으로 이동",P1,AI추가,로그인 상태 / 반려동물 프로필 등록 완료(대표 사진 미등록),캐릭터 생성 전제 조건(대표 사진) 처리 기획 미명시
TC-022,AI 캐릭터 생성,엣지,반려동물 얼굴이 가려지거나 극도로 흐린 저화질 이미지로 캐릭터 생성 시도,"로딩 완료 후 ""사진을 분석할 수 없습니다. 얼굴이 잘 보이는 사진으로 다시 시도해 주세요"" 에러 메시지 표시 / 앱 크래시 없음",P0,기획서기반,로그인 상태 / 저화질·가려진 이미지 업로드 완료,AI 입력 이미지 분석 실패 시나리오
TC-023,AI 캐릭터 생성,엣지,캐릭터 생성 로딩 중(15~30초 연산 중) 네트워크 연결 차단,"화면 상단에 ""네트워크 연결이 끊겼습니다"" 배너 표시 / 로딩 중단 후 ""다시 시도"" 버튼 노출 / 해당 시도의 재생성 횟수 미차감",P0,AI추가,캐릭터 생성 로딩 화면 진행 중 상태,고비용 AI 연산 중 오류 시 횟수 차감 정책 기획 미명시
TC-024,AI 캐릭터 생성,해피,캐릭터 생성 완료 후 원하는 캐릭터 선택 후 내 캐릭터로 저장 클릭,선택 캐릭터 저장 완료 / 프로필·일기·커뮤니티 게시물에 사용 가능,P0,기획서기반,캐릭터 생성 완료 상태,
TC-025,AI 캐릭터 생성,해피,생성 결과 화면에서 3종 캐릭터 카드를 좌우 스와이프하여 미리보기 전환,각 카드 전환 시 해당 캐릭터 이미지와 성격 요약 문구 자연스럽게 교체,P2,AI추가,캐릭터 생성 완료 상태,카드 뷰 인터랙션 방식 기획 미명시
